time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-19T23:43:29.890Z,37.7941667,-121.9718333,7.02,1.32,md,8,95,0.06663,0.03,nc,nc72540830,2015-10-23T01:46:41.710Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T23:41:14.580Z,37.7931671,-121.9649963,6.29,1.28,md,8,97,0.06912,0.03,nc,nc72540820,2015-10-19T23:42:54.010Z,"1km NE of San Ramon, California",earthquake
2015-10-19T23:40:47.080Z,37.7985,-121.9616667,7.48,1.83,md,22,66,0.01229,0.05,nc,nc72540815,2015-10-20T21:20:07.147Z,"2km NE of San Ramon, California",earthquake
2015-10-19T23:40:14.220Z,37.7989998,-121.9601669,7.69,1.54,md,15,107,0.06504,0.04,nc,nc72540810,2015-10-19T23:41:53.270Z,"2km NE of San Ramon, California",earthquake
2015-10-19T23:36:29.830Z,37.795,-121.9675,6.99,1.34,md,8,96,0.06677,0.02,nc,nc72540805,2015-10-23T01:34:37.220Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T23:34:33.900Z,37.7958336,-121.9599991,7,1.54,md,8,105,0.068,0.04,nc,nc72540795,2015-10-19T23:36:37.860Z,"2km NE of San Ramon, California",earthquake
2015-10-19T23:24:37.160Z,37.7896667,-121.9625,7.82,1.78,md,24,55,0.07307,0.04,nc,nc72540780,2015-10-20T21:15:58.290Z,"1km NE of San Ramon, California",earthquake
2015-10-19T23:24:25.710Z,37.7933333,-121.9708333,6.88,1.01,md,14,96,0.06764,0.04,nc,nc72540775,2015-10-20T21:10:30.080Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T23:21:17.680Z,37.7918333,-121.9635,7.4,3.6,mw,161,56,0.00684,0.15,nc,nc72540765,2015-10-24T08:07:15.898Z,"1km NE of San Ramon, California",earthquake
2015-10-19T23:21:11.390Z,37.7931667,-121.9626667,7.19,2.32,md,74,57,0.008069,0.08,nc,nc72540760,2015-10-20T15:21:30.514Z,"1km NE of San Ramon, California",earthquake
2015-10-19T23:06:12.760Z,37.781,-121.9633333,7.34,1.1,md,7,157,0.0811,0.05,nc,nc72540755,2015-10-22T04:04:53.730Z,"1km E of San Ramon, California",earthquake
2015-10-19T23:02:30.060Z,37.7856667,-121.9645,8.05,2.74,md,89,55,0.006206,0.16,nc,nc72540745,2015-10-21T00:18:04.415Z,"1km ENE of San Ramon, California",earthquake
2015-10-19T21:48:12.540Z,37.7939987,-121.9639969,6.64,1.93,md,12,99,0.06859,0.03,nc,nc72540725,2015-10-19T23:45:32.907Z,"1km NE of San Ramon, California",earthquake
2015-10-19T21:25:03.480Z,37.7939987,-121.9694977,6.59,1.25,md,8,193,0.06728,0.02,nc,nc72540720,2015-10-19T21:26:41.780Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T21:24:29.460Z,37.7941666,-121.9629974,6.88,2.03,md,15,97,0.0687,0.04,nc,nc72540715,2015-10-19T23:17:23.096Z,"2km NE of San Ramon, California",earthquake
2015-10-19T21:15:39.600Z,37.795166,-121.9700012,6.47,1.39,md,9,98,0.06605,0.04,nc,nc72540705,2015-10-19T21:17:16.800Z,"1km NNE of San Ramon, California",earthquake
2015-10-19T20:53:25.460Z,37.7908333,-121.9645,7.01,1.54,md,12,156,0.07146,0.03,nc,nc72540690,2015-10-22T04:01:21.660Z,"1km NE of San Ramon, California",earthquake
2015-10-19T20:42:57.550Z,37.7885017,-121.9639969,6.9,2.22,md,25,97,0.07379,0.07,nc,nc72540680,2015-10-19T23:19:30.574Z,"1km NE of San Ramon, California",earthquake
2015-10-19T20:22:06.850Z,37.7888336,-121.9606705,7.14,1.95,md,18,98,0.07433,0.05,nc,nc72540650,2015-10-19T23:18:41.786Z,"1km ENE of San Ramon, California",earthquake
2015-10-19T19:13:51.920Z,37.7883339,-121.9613342,7.57,1.17,md,9,98,0.07463,0.05,nc,nc72540610,2015-10-19T19:15:25.420Z,"1km ENE of San Ramon, California",earthquake
2015-10-19T19:10:20.910Z,37.7895012,-121.963501,7.74,1.95,md,21,89,0.07297,0.06,nc,nc72540600,2015-10-19T19:11:56.500Z,"1km NE of San Ramon, California",earthquake
2015-10-19T19:02:44.670Z,37.7893333,-121.9606705,7.02,1.18,md,9,101,0.07386,0.04,nc,nc72540590,2015-10-19T19:04:21.420Z,"1km NE of San Ramon, California",earthquake
2015-10-19T19:00:46.700Z,37.7945,-121.9645,6.43,1.85,md,36,56,0.01206,0.07,nc,nc72540585,2015-10-23T22:09:25.120Z,"2km NE of San Ramon, California",earthquake
2015-10-19T18:11:27.100Z,37.7956667,-121.966,6.93,2.36,md,57,57,0.008004,0.07,nc,nc72540560,2015-10-20T21:05:18.112Z,"2km NNE of San Ramon, California",earthquake
2015-10-19T17:53:35.130Z,37.7936668,-121.9683304,7.42,2.04,md,22,56,0.06785,0.07,nc,nc72540555,2015-10-19T18:25:31.297Z,"1km NNE of San Ramon, California",earthquake
